GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
0500000US37179,37179,"Union County, North Carolina",38.9,0.7,38.3,0.7,39.6,0.9
0500000US37183,37183,"Wake County, North Carolina",36.2,0.2,35.3,0.1,37.0,0.3
0500000US37191,37191,"Wayne County, North Carolina",37.7,0.9,36.3,0.9,40.9,2.0
0500000US37193,37193,"Wilkes County, North Carolina",44.5,1.4,42.1,3.1,46.2,1.4
0500000US37195,37195,"Wilson County, North Carolina",40.4,1.0,37.7,2.3,41.5,1.1
0500000US38015,38015,"Burleigh County, North Dakota",36.8,0.9,35.6,0.6,40.2,1.3
0500000US38017,38017,"Cass County, North Dakota",32.9,0.6,31.6,0.8,33.8,0.6
0500000US38035,38035,"Grand Forks County, North Dakota",29.9,0.6,29.0,0.7,31.9,1.0
0500000US38101,38101,"Ward County, North Dakota",32.0,1.0,30.7,1.6,33.4,1.7
0500000US39003,39003,"Allen County, Ohio",39.4,0.6,38.4,1.4,40.6,1.8
0500000US39007,39007,"Ashtabula County, Ohio",41.9,0.8,40.9,1.2,43.0,1.0
0500000US39009,39009,"Athens County, Ohio",28.9,0.9,27.8,1.3,29.5,1.4
0500000US39013,39013,"Belmont County, Ohio",44.7,1.4,42.2,2.1,46.8,1.0
0500000US39017,39017,"Butler County, Ohio",36.3,0.3,35.5,0.4,37.2,0.7
0500000US39023,39023,"Clark County, Ohio",40.8,0.7,40.3,1.0,41.5,0.9
0500000US39025,39025,"Clermont County, Ohio",39.9,0.9,37.7,0.6,42.3,0.8
0500000US39029,39029,"Columbiana County, Ohio",43.8,0.6,42.6,0.6,45.3,0.3
0500000US39035,39035,"Cuyahoga County, Ohio",40.1,0.2,38.1,0.3,42.2,0.3
0500000US39041,39041,"Delaware County, Ohio",38.6,0.6,37.9,0.8,39.1,0.5
0500000US39043,39043,"Erie County, Ohio",44.8,0.3,43.3,2.1,45.7,0.5
0500000US39045,39045,"Fairfield County, Ohio",38.5,0.6,37.1,0.8,40.2,1.0
0500000US39049,39049,"Franklin County, Ohio",34.1,0.1,33.0,0.3,35.0,0.1
0500000US39055,39055,"Geauga County, Ohio",45.0,0.4,43.5,0.5,47.0,1.1
0500000US39057,39057,"Greene County, Ohio",37.8,0.7,36.3,0.8,39.3,1.0
0500000US39061,39061,"Hamilton County, Ohio",36.7,0.3,35.3,0.2,38.2,0.4
0500000US39063,39063,"Hancock County, Ohio",39.2,1.2,37.6,1.3,40.6,2.0
0500000US39081,39081,"Jefferson County, Ohio",44.7,0.3,42.9,2.9,46.2,1.1
